ticker,epic,instrument_name,currency,market_status,expiry,instrument_type,search_term
6232JT,AJ.D.6232JT.CASH.IP,ACSL LTD,N/A,EDITS_ONLY,-,SHARES,AC
ATIFP,EC.D.ATIFP.CASH.IP,ACTIA Group SA,N/A,TRADEABLE,-,SHARES,AC
ATICSS,EH.D.ATICSS.CASH.IP,Actic Group AB,N/A,TRADEABLE,-,SHARES,AC
ACTISS,EH.D.ACTISS.CASH.IP,Active Biotech AB (publ),N/A,TRADEABLE,-,SHARES,AC
AIVAU,AB.D.AIVAU.CASH.IP,ActivEX Limited,N/A,EDITS_ONLY,-,SHARES,AC
3279JT,AJ.D.3279JT.CASH.IP,Activia Properties Inc,N/A,EDITS_ONLY,-,SHARES,Properties
ATVI,UA.D.ATVI.CASH.IP,Activision Blizzard Inc,N/A,CLOSED,-,SHARES,BL
ACTLN,KC.D.ACTLN.CASH.IP,Actual Experience Ltd,N/A,CLOSED,-,SHARES,EX
AYIUS,SA.D.AYIUS.CASH.IP,Acuity Inc,N/A,TRADEABLE,-,SHARES,AC
ENGILN,KC.D.ENGILN.CASH.IP,Acuity RM Group PLC,N/A,TRADEABLE,-,SHARES,RM
ATCN,KN.D.ATCN.CASH.IP,AcuityAds Holdings Inc,N/A,OFFLINE,-,SHARES,AT
ACEAU,AB.D.ACEAU.CASH.IP,Acusensus Ltd,N/A,EDITS_ONLY,-,SHARES,AC
PIEZOSS,EH.D.PIEZOSS.CASH.IP,Acuvi AB,N/A,TRADEABLE,-,SHARES,AC
ACVAUS,UA.D.ACVAUS.CASH.IP,ACV Auctions Inc,N/A,TRADEABLE,-,SHARES,AC
ADAGUS,UA.D.ADAGUS.CASH.IP,Adagene Inc,N/A,TRADEABLE,-,SHARES,AD
ADHAU,AB.D.ADHAU.CASH.IP,Adairs Ltd,N/A,EDITS_ONLY,-,SHARES,AD
ADX,SA.D.ADX.CASH.IP,Adams Express Co,N/A,TRADEABLE,-,SHARES,EX
ADAALN,KC.D.ADAALN.CASH.IP,Adams PLC (GBp),N/A,CLOSED,-,SHARES,AD
AEUS,SI.D.AEUS.CASH.IP,Adams Resources & Energy Inc,N/A,CLOSED,-,SHARES,AE
ADAPTSS,EH.D.ADAPTSS.CASH.IP,Adapteo Oyj,N/A,OFFLINE,-,SHARES,AD
ABC,AA.D.ABC.CASH.IP,Adbri Limited,N/A,CLOSED,-,SHARES,AD
ADCTUS,SA.D.ADCTUS.CASH.IP,ADC Therapeutics SA,N/A,TRADEABLE,-,SHARES,TH
ADKPFD,SI.D.ADKPFD.CASH.IP,AdCare Health Systems Inc Pfd 10.875%,N/A,OFFLINE,-,SHARES,PF
ADRSJ,AR.D.ADRSJ.CASH.IP,Adcorp Holdings Ltd,N/A,TRADEABLE,-,SHARES,Holdings
ALIFBSS,EH.D.ALIFBSS.CASH.IP,AddLife AB (publ),N/A,TRADEABLE,-,SHARES,AD
ADDTBSS,EH.D.ADDTBSS.CASH.IP,AddTech AB,N/A,TRADEABLE,-,SHARES,AD
ADEN,EJ.D.ADEN.CASH.IP,Adecco SA,N/A,TRADEABLE,-,SHARES,AD
AGROUS,SA.D.AGROUS.CASH.IP,Adecoagro SA,N/A,TRADEABLE,-,SHARES,AD
TSRA,UD.D.TSRA.CASH.IP,Adeia Inc.,N/A,TRADEABLE,-,SHARES,AD
HDICN,KN.D.HDICN.CASH.IP,ADENTRA Inc,N/A,TRADEABLE,-,SHARES,AD
ADPTUS,SA.D.ADPTUS.CASH.IP,Adeptus Health Inc,N/A,CLOSED,-,SHARES,HE
ADN1GY,ED.D.ADN1GY.CASH.IP,adesso AG,N/A,TRADEABLE,-,SHARES,AD
ADEBNO,EL.D.ADEBNO.CASH.IP,Adevinta ASA (B),N/A,OFFLINE,-,SHARES,AD
ADRAU,AB.D.ADRAU.CASH.IP,Adherium Limited,N/A,EDITS_ONLY,-,SHARES,ADR
TORCUS,UD.D.TORCUS.CASH.IP,Adicet Bio Inc,N/A,TRADEABLE,-,SHARES,AD
ADSGY,ED.D.ADSGY.CASH.IP,Adidas AG,N/A,TRADEABLE,-,SHARES,AD
ADNTWUS,SA.D.ADNTWUS.CASH.IP,Adient plc,N/A,TRADEABLE,-,SHARES,AD
DC2AU,AB.D.DC2AU.CASH.IP,Adisyn Ltd,N/A,EDITS_ONLY,-,SHARES,AD
ADTXUS,UA.D.ADTXUS.CASH.IP,Aditxt Inc,N/A,TRADEABLE,-,SHARES,AD
ADLGY,ED.D.ADLGY.CASH.IP,ADLER Real Estate AG,N/A,OFFLINE,-,SHARES,ES
ASTALN,KC.D.ASTALN.CASH.IP,ADM Energy PLC,N/A,TRADEABLE,-,SHARES,AD
ADMCMFH,EB.D.ADMCMFH.CASH.IP,Admicom Oyj,N/A,TRADEABLE,-,SHARES,AD
ADY,AF.D.ADY.CASH.IP,Admiralty Resources NL,N/A,EDITS_ONLY,-,SHARES,NL
ADBPZ,KC.D.ADBPZ.CASH.IP,Adnams PLC,N/A,TRADEABLE,-,SHARES,AD
AD1AU,AB.D.AD1AU.CASH.IP,ADNEO LIMITED,N/A,EDITS_ONLY,-,SHARES,AD
ADJGY,ED.D.ADJGY.CASH.IP,ADO Properties SA,N/A,TRADEABLE,-,SHARES,Properties
ADBE,UA.D.ADBE.CASH.IP,Adobe Systems Inc (24 Hours),N/A,TRADEABLE,-,SHARES,SY
ADOCFP,EC.D.ADOCFP.CASH.IP,Adocia,N/A,TRADEABLE,-,SHARES,AD
ADSCMENO,EL.D.ADSCMENO.CASH.IP,ADS Crude Carriers PLC,N/A,TRADEABLE,-,SHARES,ADS
ADSEUS,UA.D.ADSEUS.CASH.IP,ADS-TEC Energy PLC,N/A,TRADEABLE,-,SHARES,Energy
ADJAU,AB.D.ADJAU.CASH.IP,Adslot Ltd,N/A,EDITS_ONLY,-,SHARES,AD
ADSPZ,KC.D.ADSPZ.CASH.IP,Adsure Services PLC,N/A,TRADEABLE,-,SHARES,ADS
ADTUS,SA.D.ADTUS.CASH.IP,ADT Inc,N/A,TRADEABLE,-,SHARES,AD
HIMFP,EC.D.HIMFP.CASH.IP,Adux SA,N/A,OFFLINE,-,SHARES,AD
ANOAU,AB.D.ANOAU.CASH.IP,Advance Zinctek Limited,N/A,EDITS_ONLY,-,SHARES,ZI
CXRXUS,UA.D.CXRXUS.CASH.IP,Advanz Pharma Corp. (US),N/A,CLOSED,-,SHARES,PH
AFN,KC.D.AFN.CASH.IP,ADVFN PLC,N/A,OFFLINE,-,SHARES,AD
AADRUS,SI.D.AADRUS.CASH.IP,AdvisorShares Dorsey Wright ADR ETF,N/A,TRADEABLE,-,SHARES,WR
DWSHUS,UB.D.DWSHUS.CASH.IP,AdvisorShares Dorsey Wright Short ETF,N/A,TRADEABLE,-,SHARES,WR
GKUS,SI.D.GKUS.CASH.IP,AdvisorShares Gerber Kawasaki ETF,N/A,OFFLINE,-,SHARES,GK
GYENUS,SI.D.GYENUS.CASH.IP,AdvisorShares Gold Yen ETF,N/A,CLOSED,-,SHARES,YE
HVACUS,SI.D.HVACUS.CASH.IP,Advisorshares Hvac And Industrials ETF,N/A,TRADEABLE,-,SHARES,HV
PSILUS,SI.D.PSILUS.CASH.IP,Advisorshares Psychedelics ETF,N/A,TRADEABLE,-,SHARES,PS
2489JT,AJ.D.2489JT.CASH.IP,Adways Inc,N/A,EDITS_ONLY,-,SHARES,AD
ADXAU,AB.D.ADXAU.CASH.IP,ADX Energy Limited,N/A,EDITS_ONLY,-,SHARES,Energy
ADYENNA,EG.D.ADYENNA.CASH.IP,Adyen NV,N/A,TRADEABLE,-,SHARES,AD
AFESJ,AR.D.AFESJ.CASH.IP,Aeci Ltd,N/A,TRADEABLE,-,SHARES,AE
ARECN,KN.D.ARECN.CASH.IP,Aecon Group Inc,N/A,TRADEABLE,-,SHARES,AE
AEDASSM,EI.D.AEDASSM.CASH.IP,Aedas Homes S.A.U.,N/A,TRADEABLE,-,SHARES,AE
AEDI,EF.D.AEDI.CASH.IP,Aedes SpA,N/A,OFFLINE,-,SHARES,AE
AEDBB,EA.D.AEDBB.CASH.IP,Aedifica SA,N/A,TRADEABLE,-,SHARES,AE
AERAU,AB.D.AERAU.CASH.IP,Aeeris Limited,N/A,EDITS_ONLY,-,SHARES,AE
AEFIM,EF.D.AEFIM.CASH.IP,Aeffe SpA,N/A,TRADEABLE,-,SHARES,AE
AEGNGA,ER.D.AEGNGA.CASH.IP,Aegean Airlines SA,N/A,TRADEABLE,-,SHARES,AE
AEGEK,ER.D.AEGEK.CASH.IP,Aegek SA,N/A,CLOSED,-,SHARES,AE
INSU,UB.D.INSU.CASH.IP,Aegion Corp,N/A,CLOSED,-,SHARES,AE
AEGIRT02S,EH.D.AEGIRT02S.CASH.IP,Aegirbio AB (Warrants),N/A,OFFLINE,-,SHARES,AE
AEGN,EG.D.AEGN.CASH.IP,Aegon NV,N/A,TRADEABLE,-,SHARES,AE
AEG,SA.D.AEG.CASH.IP,Aegon NV (US),N/A,TRADEABLE,-,SHARES,AE
AEHRUS,UA.D.AEHRUS.CASH.IP,Aehr Test Systems,N/A,TRADEABLE,-,SHARES,AE
ALMUUS,UA.D.ALMUUS.CASH.IP,Aeluma Inc,N/A,TRADEABLE,-,SHARES,AE
AEMSP,AG.D.AEMSP.CASH.IP,AEM Holdings Ltd,N/A,EDITS_ONLY,-,SHARES,AE
AMTXUS,UA.D.AMTXUS.CASH.IP,Aemetis Inc,N/A,TRADEABLE,-,SHARES,AE
AENASM,EI.D.AENASM.CASH.IP,Aena S.M.E. SA,N/A,TRADEABLE,-,SHARES,AE
GRAMUS,SC.D.GRAMUS.CASH.IP,Aenza SAA,N/A,CLOSED,-,SHARES,AE
AEONUS,SI.D.AEONUS.CASH.IP,AEON Biopharma Inc,N/A,TRADEABLE,-,SHARES,AE
8267JT,AJ.D.8267JT.CASH.IP,Aeon Co Ltd,N/A,EDITS_ONLY,-,SHARES,AE
AMLAU,AB.D.AMLAU.CASH.IP,Aeon Metals Limited,N/A,CLOSED,-,SHARES,AE
AEPLN,KA.D.AEPLN.CASH.IP,AEP Plantations PLC,N/A,TRADEABLE,-,SHARES,AE
AER,SA.D.AER.CASH.IP,AerCap Holdings NV,N/A,TRADEABLE,-,SHARES,AE
SRQ,AF.D.SRQ.CASH.IP,Aeris Resources Ltd,N/A,EDITS_ONLY,-,SHARES,AE
GYUS,SC.D.GYUS.CASH.IP,Aerojet Rocketdyne Holdings Inc,N/A,CLOSED,-,SHARES,GY
AMXAU,AB.D.AMXAU.CASH.IP,Aerometrex Limited,N/A,EDITS_ONLY,-,SHARES,AE
ADPFP,EC.D.ADPFP.CASH.IP,Aeroports de Paris,N/A,TRADEABLE,-,SHARES,AE
AVAV,UA.D.AVAV.CASH.IP,Aerovironment Inc,N/A,TRADEABLE,-,SHARES,AE
AES,SA.D.AES.CASH.IP,AES Corp (24 Hours),N/A,TRADEABLE,-,SHARES,AE
AEMDUS,UA.D.AEMDUS.CASH.IP,Aethlon Medical Inc,N/A,TRADEABLE,-,SHARES,AE
AVEXUS,SA.D.AVEXUS.CASH.IP,Aevex Corp,N/A,TRADEABLE,-,SHARES,AE
AEVSSW,EJ.D.AEVSSW.CASH.IP,AEVIS VICTORIA SA,N/A,TRADEABLE,-,SHARES,AE
AEWULN,KC.D.AEWULN.CASH.IP,AEW UK REIT PLC,N/A,TRADEABLE,-,SHARES,AE
CFACUS,UA.D.CFACUS.CASH.IP,AEye Inc,N/A,TRADEABLE,-,SHARES,AE
LIDRWUS,UB.D.LIDRWUS.CASH.IP,AEye Inc - warrants,N/A,TRADEABLE,-,SHARES,AE
AFGNO,EL.D.AFGNO.CASH.IP,AF Gruppen ASA,N/A,TRADEABLE,-,SHARES,AF
NAVAU,AB.D.NAVAU.CASH.IP,AF Legal Group Ltd,N/A,EDITS_ONLY,-,SHARES,AF
RUG1V,EB.D.RUG1V.CASH.IP,Afarak Group OYJ,N/A,TRADEABLE,-,SHARES,AF
AFRKLN,KC.D.AFRKLN.CASH.IP,Afarak Group Oyj,N/A,OFFLINE,-,SHARES,AF
