ticker,epic,instrument_name,currency,market_status,expiry,instrument_type,search_term
SPX4LN,KA.D.SPX4LN.CASH.IP,SS SPDR S&P 400 US Mid Cap UCITS ETF (GBP),N/A,TRADEABLE,-,SHARES,SS
SSNC,UD.D.SSNC.CASH.IP,SS&C Technologies Holdings Inc,N/A,TRADEABLE,-,SHARES,SS
SSH1VFH,EB.D.SSH1VFH.CASH.IP,SSH Communications Security Oyj,N/A,TRADEABLE,-,SHARES,SS
SSICLN,KC.D.SSICLN.CASH.IP,Seraphim Space Investment Trust PLC [SSIC],N/A,TRADEABLE,-,SHARES,SS
SSACLN,KA.D.SSACLN.CASH.IP,iShares MSCI ACWI UCITS ETF - SSAC,N/A,TRADEABLE,-,SHARES,SS
KSTRLN,KA.D.KSTRLN.CASH.IP,Kraneshares ICBCCS SSE Star Market 50 Index UCITS ETF,N/A,TRADEABLE,-,SHARES,SS
SSHYLN,KA.D.SSHYLN.CASH.IP,PIMCO Short-Term High Yield Corporate Bond - SSHY,N/A,TRADEABLE,-,SHARES,SS
IMIDLN,KA.D.IMIDLN.CASH.IP,SS SPDR MSCI All Country World Investable Market UCITS ETF,N/A,TRADEABLE,-,SHARES,SS
SSXFLN,KA.D.SSXFLN.CASH.IP,iShares (GBP) Corporate Bond ex-Financials UCITS ETF - SSXF,N/A,TRADEABLE,-,SHARES,SS
WHEALN,KA.D.WHEALN.CASH.IP,SSgA SPDR ETFs Europe II Public Limited Company - SPDR MSCI World Health Care UCITS ETF,N/A,TRADEABLE,-,SHARES,SS
STUS,SG.D.STUS.CASH.IP,Sensata Technologies Holding PLC,N/A,TRADEABLE,-,SHARES,ST
STSP,AG.D.STSP.CASH.IP,Singapore Telecommunications Ltd (SGX),N/A,EDITS_ONLY,-,SHARES,ST
SUUS,SG.D.SUUS.CASH.IP,Suncor Energy Inc,N/A,TRADEABLE,-,SHARES,SU
SUCT,KN.D.SUCT.CASH.IP,Suncor Energy Inc (CA),N/A,TRADEABLE,-,SHARES,SU
SU,EC.D.SU.CASH.IP,Schneider Electric SA,N/A,TRADEABLE,-,SHARES,SU
ACYNO,EL.D.ACYNO.CASH.IP,Subsea 7 SA,N/A,TRADEABLE,-,SHARES,SU
SUN,EJ.D.SUN.CASH.IP,Sulzer AG,N/A,TRADEABLE,-,SHARES,SU
3436JT,AJ.D.3436JT.CASH.IP,Sumco Corp,N/A,EDITS_ONLY,-,SHARES,SU
6736JT,AJ.D.6736JT.CASH.IP,Sun Corp,N/A,EDITS_ONLY,-,SHARES,SU
RUNUS,UC.D.RUNUS.CASH.IP,Sunrun Inc (24 Hours),N/A,TRADEABLE,-,SHARES,SU
9229JT,AJ.D.9229JT.CASH.IP,SUNWELS Co Ltd,N/A,EDITS_ONLY,-,SHARES,SU
AEGIRSS,EH.D.AEGIRSS.CASH.IP,Subgen AI AB,N/A,TRADEABLE,-,SHARES,SU
SZUGY,ED.D.SZUGY.CASH.IP,Suedzucker AG,N/A,TRADEABLE,-,SHARES,SU
8053JT,AJ.D.8053JT.CASH.IP,Sumitomo Corp,N/A,EDITS_ONLY,-,SHARES,SU
SUMOLN,KA.D.SUMOLN.CASH.IP,Sumo Group PLC,N/A,OFFLINE,-,SHARES,SU
ROR1AV,EK.D.ROR1AV.CASH.IP,SunMirror AG,N/A,OFFLINE,-,SHARES,SU
STKLUS,UD.D.STKLUS.CASH.IP,SunOpta Inc,N/A,CLOSED,-,SHARES,SU
SOYCN,KN.D.SOYCN.CASH.IP,SunOpta Inc (Canada),N/A,OFFLINE,-,SHARES,SU
SPWR,UD.D.SPWR.CASH.IP,SunPower Corp,N/A,CLOSED,-,SHARES,SU
FACTUS,SC.D.FACTUS.CASH.IP,SunPower Inc,N/A,TRADEABLE,-,SHARES,SU
